CODFASDET,PROMFAS,CODFASE,CODASIG
"1","8.95","2","11"
"2","16.5","3","11"
"3","9.19","2","7"
"4","17.06","3","7"
"5","1.76","2","4"
"6","17.33","3","4"
"7","2","2","14"
"8","16.93","3","14"
"9","0","2","15"
"10","0","3","15"
"11","0","2","19"
"12","0","3","19"
"13","8.43","2","12"
"14","16.39","3","12"
"15","0","2","16"
"16","4","3","16"
"17","8.43","2","10"
"18","16.33","3","10"
"19","9.14","2","13"
"20","15.83","3","13"
"21","0","2","17"
"22","0","3","17"
"23","0","2","6"
"24","0","3","6"
"25","8.1","2","9"
"26","15.94","3","9"
"27","0","2","18"
"28","0","3","18"
